YEATS4	VPS72	1.0
RPS18	RPSA	1.0
RPS18	RPS9	1.0
RPS18	RPS8	1.0
RPS18	RPS5	1.0
RPS18	RPS3A	1.0
RPS18	RPS3	1.0
RPS18	RPS25	1.0
RPS18	RPS23	1.0
RPS18	RPS15A	1.0
RPS18	RPS14	1.0
RPS18	RPS13	1.0
RPS18	RPS11	1.0
RPS18	RPL8	1.0
RPS18	RPL7A	1.0
RPS18	RPL37A	1.0
RPS18	RPL36	1.0
RPS18	RPL3	1.0
RPS18	RPL27A	1.0
RPS18	RPL24	1.0
RPS18	RPL23A	1.0
RPS18	RPL23	1.0
RPS18	RPL21	1.0
RPS18	RPL18A	1.0
RPS18	RPL18	1.0
RPS18	RPL15	1.0
RPS18	RPL13	1.0
RPS18	RPL11	1.0
RPS18	RPL10	1.0
RPS18	ENSG00000215472	1.0
RPS16	RPS9	1.0
RPS16	RPS6	1.0
RPS16	RPS5	1.0
RPS16	RPS3A	1.0
RPS16	RPS3	1.0
RPS16	RPS19	1.0
RPS16	RPS18	1.0
RPS16	RPS15A	1.0
RPS16	RPS15	1.0
RPS16	RPS14	1.0
RPS16	RPS13	1.0
RPS16	RPS12	1.0
RPS16	RPS11	1.0
RPS16	RPL9P7	1.0
RPS16	RPL8	1.0
RPS16	RPL7	1.0
RPS16	RPL6	1.0
RPS16	RPL37A	1.0
RPS16	RPL36	1.0
RPS16	RPL35	1.0
RPS16	RPL31	1.0
RPS16	RPL30	1.0
RPS16	RPL27A	1.0
RPS16	RPL24	1.0
RPS16	RPL23A	1.0
RPS16	RPL23	1.0
RPS16	RPL21	1.0
RPS16	RPL18A	1.0
RPS16	RPL15	1.0
RPS16	RPL13	1.0
RPS16	RPL11	1.0
RPS16	RPL10A	1.0
RPS16	RPL10	1.0
RPS15	RPS9	1.0
RPS15	RPS8	1.0
RPS15	RPS5	1.0
RPS15	RPS3A	1.0
RPS15	RPS3	1.0
RPS15	RPS15A	1.0
RPS15	RPL3	1.0
RPS15	RPL11	1.0
RPS15	RPL10	1.0
RPS15A	RPS9	1.0
RPS15A	RPL3	1.0
RPS15A	RPL27A	1.0
RPS15A	RPL21	1.0
RPS14	RPS9	1.0
RPS14	RPS8	1.0
RPS14	RPS4X	1.0
RPS14	RPS3A	1.0
RPS14	RPS15A	1.0
RPS14	RPL6	1.0
RPS14	RPL3	1.0
RPS14	RPL27A	1.0
RPS14	RPL21	1.0
RPS14	RPL13	1.0
RPS14	RPL11	1.0
RPS14	RPL10A	1.0
RPS14	RPL10	1.0
RPS13	RPS9	1.0
RPS13	RPS8	1.0
RPS13	RPS5	1.0
RPS13	RPS4X	1.0
RPS13	RPS3A	1.0
RPS13	RPS3	1.0
RPS13	RPS25	1.0
RPS13	RPS15A	1.0
RPS13	RPS14	1.0
RPS13	RPLP2	1.0
RPS13	RPLP0	1.0
RPS13	RPL7	1.0
RPS13	RPL6	1.0
RPS13	RPL35	1.0
RPS13	RPL3	1.0
RPS13	RPL30	1.0
RPS13	RPL27A	1.0
RPS13	RPL27	1.0
RPS13	RPL23A	1.0
RPS13	RPL21	1.0
RPS13	RPL14	1.0
RPS13	RPL13	1.0
RPS13	RPL12	1.0
RPS13	RPL11	1.0
RPS13	RPL10A	1.0
RPS13	RPL10	1.0
RPS12	RPS15A	1.0
RPS12	RPLP0	1.0
RPS12	RPL30	1.0
RPS12	RPL10	1.0
RPS11	RPS9	1.0
RPS11	RPS14	1.0
RPS11	RPL36	1.0
RPS11	RPL24	1.0
RPS11	RPL15	1.0
RPS11	RPL14	1.0
RPS11	RPL13	1.0
RPLP2	RPS8	1.0
RPLP2	RPL21	1.0
RPLP0	RPS9	1.0
RPLP0	RPS8	1.0
RPLP0	RPS3A	1.0
RPLP0	RPL7	1.0
RPLP0	RPL6	1.0
RPLP0	RPL3	1.0
RPLP0	RPL30	1.0
RPLP0	RPL21	1.0
RPLP0	RPL13	1.0
RPLP0	RPL10A	1.0
RPLP0	RPL10	1.0
RPL9P7	RPS8	1.0
RPL9P7	RPS25	1.0
RPL9P7	RPS23	1.0
RPL9P7	RPS20	1.0
RPL9P7	RPS15A	1.0
RPL9P7	RPS13	1.0
RPL9P7	RPLP0	1.0
RPL9P7	RPL6	1.0
RPL9P7	RPL14	1.0
RPL9P7	RPL10	1.0
RPL8	RPS9	1.0
RPL8	RPS8	1.0
RPL8	RPS5	1.0
RPL8	RPS3A	1.0
RPL8	RPS3	1.0
RPL8	RPS25	1.0
RPL8	RPS23	1.0
RPL8	RPS15A	1.0
RPL8	RPS14	1.0
RPL8	RPS13	1.0
RPL8	RPS11	1.0
RPL8	RPLP0	1.0
RPL8	RPL7A	1.0
RPL8	RPL7	1.0
RPL8	RPL6	1.0
RPL8	RPL4	1.0
RPL8	RPL37A	1.0
RPL8	RPL36	1.0
RPL8	RPL35A	1.0
RPL8	RPL35	1.0
RPL8	RPL31	1.0
RPL8	RPL3	1.0
RPL8	RPL30	1.0
RPL8	RPL27A	1.0
RPL8	RPL27	1.0
RPL8	RPL26L1	1.0
RPL8	RPL26	1.0
RPL8	RPL24	1.0
RPL8	RPL23A	1.0
RPL8	RPL21	1.0
RPL8	RPL18A	1.0
RPL8	RPL18	1.0
RPL8	RPL15	1.0
RPL8	RPL14	1.0
RPL8	RPL13	1.0
RPL8	RPL12	1.0
RPL8	RPL11	1.0
RPL8	RPL10A	1.0
RPL8	RPL10	1.0
RPL8	EBNA1BP2	1.0
RPL7	RPS9	1.0
RPL7	RPS8	1.0
RPL7	RPS5	1.0
RPL7	RPS3A	1.0
RPL7	RPS3	1.0
RPL7	RPS25	1.0
RPL7	RPS15A	1.0
RPL7	RPL6	1.0
RPL7	RPL3	1.0
RPL7	RPL30	1.0
RPL7	RPL27	1.0
RPL7	RPL14	1.0
RPL7	RPL13	1.0
RPL7	RPL11	1.0
RPL7	RPL10	1.0
RPL7	EBNA1BP2	1.0
RPL7A	RPS9	1.0
RPL7A	RPS8	1.0
RPL7A	RPS5	1.0
RPL7A	RPS4X	1.0
RPL7A	RPS3A	1.0
RPL7A	RPS3	1.0
RPL7A	RPS25	1.0
RPL7A	RPS15A	1.0
RPL7A	RPS15	1.0
RPL7A	RPS14	1.0
RPL7A	RPS13	1.0
RPL7A	RPLP2	1.0
RPL7A	RPLP0	1.0
RPL7A	RPL7	1.0
RPL7A	RPL6	1.0
RPL7A	RPL35	1.0
RPL7A	RPL3	1.0
RPL7A	RPL30	1.0
RPL7A	RPL27A	1.0
RPL7A	RPL27	1.0
RPL7A	RPL23A	1.0
RPL7A	RPL21	1.0
RPL7A	RPL14	1.0
RPL7A	RPL13	1.0
RPL7A	RPL11	1.0
RPL7A	RPL10A	1.0
RPL7A	RPL10	1.0
RPL6	RPS9	1.0
RPL6	RPS8	1.0
RPL6	RPS5	1.0
RPL6	RPS4X	1.0
RPL6	RPS3A	1.0
RPL6	RPS3	1.0
RPL6	RPS25	1.0
RPL6	RPS15A	1.0
RPL6	RPLP2	1.0
RPL6	RPL3	1.0
RPL6	RPL30	1.0
RPL6	RPL27A	1.0
RPL6	RPL27	1.0
RPL6	RPL26L1	1.0
RPL6	RPL22	1.0
RPL6	RPL21	1.0
RPL6	RPL14	1.0
RPL6	RPL13	1.0
RPL6	RPL11	1.0
RPL6	RPL10	1.0
RPL6	EBNA1BP2	1.0
RPL5	RPS9	1.0
RPL5	RPS8	1.0
RPL5	RPS6	1.0
RPL5	RPS5	1.0
RPL5	RPS3A	1.0
RPL5	RPS3	1.0
RPL5	RPS23	1.0
RPL5	RPS2	1.0
RPL5	RPS19	1.0
RPL5	RPS18	1.0
RPL5	RPS15A	1.0
RPL5	RPS15	1.0
RPL5	RPS14	1.0
RPL5	RPS13	1.0
RPL5	RPS12	1.0
RPL5	RPLP2	1.0
RPL5	RPLP0	1.0
RPL5	RPL9P7	1.0
RPL5	RPL8	1.0
RPL5	RPL7A	1.0
RPL5	RPL7	1.0
RPL5	RPL6	1.0
RPL5	RPL4	1.0
RPL5	RPL37A	1.0
RPL5	RPL36	1.0
RPL5	RPL35	1.0
RPL5	RPL32	1.0
RPL5	RPL31	1.0
RPL5	RPL3	1.0
RPL5	RPL30	1.0
RPL5	RPL27A	1.0
RPL5	RPL27	1.0
RPL5	RPL26L1	1.0
RPL5	RPL26	1.0
RPL5	RPL24	1.0
RPL5	RPL23A	1.0
RPL5	RPL22	1.0
RPL5	RPL21	1.0
RPL5	RPL19	1.0
RPL5	RPL18A	1.0
RPL5	RPL18	1.0
RPL5	RPL15	1.0
RPL5	RPL14	1.0
RPL5	RPL13A	1.0
RPL5	RPL13	1.0
RPL5	RPL12	1.0
RPL5	RPL11	1.0
RPL5	RPL10A	1.0
RPL5	RPL10	1.0
RPL5	ENSG00000215472	1.0
RPL5	EBNA1BP2	1.0
RPL4	RPS9	1.0
RPL4	RPS8	1.0
RPL4	RPS3A	1.0
RPL4	RPS19	1.0
RPL4	RPS14	1.0
RPL4	RPS13	1.0
RPL4	RPLP0	1.0
RPL4	RPL7A	1.0
RPL4	RPL7	1.0
RPL4	RPL6	1.0
RPL4	RPL36	1.0
RPL4	RPL35	1.0
RPL4	RPL31	1.0
RPL4	RPL3	1.0
RPL4	RPL30	1.0
RPL4	RPL27	1.0
RPL4	RPL23A	1.0
RPL4	RPL22	1.0
RPL4	RPL21	1.0
RPL4	RPL18A	1.0
RPL4	RPL18	1.0
RPL4	RPL15	1.0
RPL4	RPL14	1.0
RPL4	RPL13	1.0
RPL4	RPL11	1.0
RPL4	RPL10A	1.0
RPL4	RPL10	1.0
RPL4	EBNA1BP2	1.0
RPL38	RPS3A	1.0
RPL37A	RPS9	1.0
RPL37A	RPS8	1.0
RPL37A	RPS5	1.0
RPL37A	RPS3A	1.0
RPL37A	RPS3	1.0
RPL37A	RPS23	1.0
RPL37A	RPS19	1.0
RPL37A	RPS15	1.0
RPL37A	RPS13	1.0
RPL37A	RPLP0	1.0
RPL37A	RPL7	1.0
RPL37A	RPL6	1.0
RPL37A	RPL36	1.0
RPL37A	RPL31	1.0
RPL37A	RPL3	1.0
RPL37A	RPL24	1.0
RPL37A	RPL23A	1.0
RPL37A	RPL15	1.0
RPL37A	RPL14	1.0
RPL37A	RPL13	1.0
RPL37A	RPL12	1.0
RPL37A	RPL11	1.0
RPL37A	RPL10A	1.0
RPL37A	RPL10	1.0
RPL36	RPS9	1.0
RPL36	RPS8	1.0
RPL36	RPS5	1.0
RPL36	RPS4X	1.0
RPL36	RPS3A	1.0
RPL36	RPS25	1.0
RPL36	RPS23	1.0
RPL36	RPS15	1.0
RPL36	RPS14	1.0
RPL36	RPS13	1.0
RPL36	RPLP0	1.0
RPL36	RPL7	1.0
RPL36	RPL6	1.0
RPL36	RPL35	1.0
RPL36	RPL3	1.0
RPL36	RPL30	1.0
RPL36	RPL27	1.0
RPL36	RPL26	1.0
RPL36	RPL23A	1.0
RPL36	RPL21	1.0
RPL36	RPL15	1.0
RPL36	RPL14	1.0
RPL36	RPL13	1.0
RPL36	RPL11	1.0
RPL36	RPL10A	1.0
RPL36	RPL10	1.0
RPL35	RPS9	1.0
RPL35	RPS5	1.0
RPL35	RPS3A	1.0
RPL35	RPS3	1.0
RPL35	RPS25	1.0
RPL35	RPS20	1.0
RPL35	RPS15A	1.0
RPL35	RPS14	1.0
RPL35	RPL7	1.0
RPL35	RPL6	1.0
RPL35	RPL36AL	1.0
RPL35	RPL3	1.0
RPL35	RPL30	1.0
RPL35	RPL27A	1.0
RPL35	RPL27	1.0
RPL35	RPL23A	1.0
RPL35	RPL14	1.0
RPL35	RPL13	1.0
RPL35	RPL12	1.0
RPL35	RPL11	1.0
RPL35	RPL10A	1.0
RPL35	RPL10	1.0
RPL34	RPS9	1.0
RPL32	RPS9	1.0
RPL32	RPS8	1.0
RPL32	RPS6	1.0
RPL32	RPS4X	1.0
RPL32	RPS3A	1.0
RPL32	RPS3	1.0
RPL32	RPS23	1.0
RPL32	RPS18	1.0
RPL32	RPS16	1.0
RPL32	RPS14	1.0
RPL32	RPS13	1.0
RPL32	RPLP0	1.0
RPL32	RPL8	1.0
RPL32	RPL7A	1.0
RPL32	RPL7	1.0
RPL32	RPL6	1.0
RPL32	RPL4	1.0
RPL32	RPL37A	1.0
RPL32	RPL36	1.0
RPL32	RPL3	1.0
RPL32	RPL30	1.0
RPL32	RPL27A	1.0
RPL32	RPL27	1.0
RPL32	RPL24	1.0
RPL32	RPL23A	1.0
RPL32	RPL23	1.0
RPL32	RPL21	1.0
RPL32	RPL18A	1.0
RPL32	RPL18	1.0
RPL32	RPL15	1.0
RPL32	RPL14	1.0
RPL32	RPL13A	1.0
RPL32	RPL13	1.0
RPL32	RPL11	1.0
RPL32	RPL10A	1.0
RPL32	RPL10	1.0
RPL31	RPS9	1.0
RPL31	RPS8	1.0
RPL31	RPS5	1.0
RPL31	RPS3A	1.0
RPL31	RPS23	1.0
RPL31	RPS19	1.0
RPL31	RPS14	1.0
RPL31	RPS13	1.0
RPL31	RPLP0	1.0
RPL31	RPL7A	1.0
RPL31	RPL7	1.0
RPL31	RPL6	1.0
RPL31	RPL36	1.0
RPL31	RPL35	1.0
RPL31	RPL3	1.0
RPL31	RPL24	1.0
RPL31	RPL23A	1.0
RPL31	RPL23	1.0
RPL31	RPL21	1.0
RPL31	RPL18	1.0
RPL31	RPL14	1.0
RPL31	RPL13	1.0
RPL31	RPL10A	1.0
RPL31	RPL10	1.0
RPL30	RPS9	1.0
RPL30	RPL21	1.0
RPL27	RPS9	1.0
RPL27	RPS8	1.0
RPL27	RPS5	1.0
RPL27	RPS4X	1.0
RPL27	RPS3A	1.0
RPL27	RPS3	1.0
RPL27	RPS25	1.0
RPL27	RPLP2	1.0
RPL27	RPL3	1.0
RPL27	RPL27A	1.0
RPL27	RPL21	1.0
RPL27	RPL14	1.0
RPL27	RPL13	1.0
RPL27	RPL10	1.0
RPL27A	RPL3	1.0
RPL26	RPS9	1.0
RPL26	RPS8	1.0
RPL26	RPS3A	1.0
RPL26	RPL6	1.0
RPL26	RPL3	1.0
RPL26	RPL27	1.0
RPL26	RPL21	1.0
RPL26	RPL13	1.0
RPL26L1	RPS9	1.0
RPL26L1	RPS8	1.0
RPL26L1	RPL3	1.0
RPL24	RPS9	1.0
RPL24	RPS8	1.0
RPL24	RPS5	1.0
RPL24	RPS4X	1.0
RPL24	RPS3A	1.0
RPL24	RPS25	1.0
RPL24	RPS23	1.0
RPL24	RPS15A	1.0
RPL24	RPS14	1.0
RPL24	RPS13	1.0
RPL24	RPL7A	1.0
RPL24	RPL7	1.0
RPL24	RPL6	1.0
RPL24	RPL36	1.0
RPL24	RPL35	1.0
RPL24	RPL3	1.0
RPL24	RPL30	1.0
RPL24	RPL27A	1.0
RPL24	RPL23A	1.0
RPL24	RPL22	1.0
RPL24	RPL18	1.0
RPL24	RPL15	1.0
RPL24	RPL14	1.0
RPL24	RPL13	1.0
RPL24	RPL12	1.0
RPL24	RPL11	1.0
RPL24	RPL10A	1.0
RPL24	RPL10	1.0
RPL23	RPS9	1.0
RPL23	RPS8	1.0
RPL23	RPS4X	1.0
RPL23	RPS3A	1.0
RPL23	RPS25	1.0
RPL23	RPS19	1.0
RPL23	RPS15A	1.0
RPL23	RPS14	1.0
RPL23	RPS13	1.0
RPL23	RPLP0	1.0
RPL23	RPL9P7	1.0
RPL23	RPL7A	1.0
RPL23	RPL6	1.0
RPL23	RPL36	1.0
RPL23	RPL35	1.0
RPL23	RPL30	1.0
RPL23	RPL27A	1.0
RPL23	RPL24	1.0
RPL23	RPL21	1.0
RPL23	RPL15	1.0
RPL23	RPL13	1.0
RPL23	RPL12	1.0
RPL23	RPL11	1.0
RPL23	RPL10	1.0
RPL23A	RPS9	1.0
RPL23A	RPS8	1.0
RPL23A	RPS3A	1.0
RPL23A	RPS3	1.0
RPL23A	RPS25	1.0
RPL23A	RPL7	1.0
RPL23A	RPL6	1.0
RPL23A	RPL3	1.0
RPL23A	RPL30	1.0
RPL23A	RPL27	1.0
RPL23A	RPL21	1.0
RPL23A	RPL14	1.0
RPL23A	RPL13	1.0
RPL23A	RPL11	1.0
RPL23A	RPL10A	1.0
RPL23A	EBNA1BP2	1.0
RPL22	RPL3	1.0
RPL22	RPL27A	1.0
RPL21	RPL3	1.0
RPL21	RPL27A	1.0
RPL19	RPSA	1.0
RPL19	RPS9	1.0
RPL19	RPS8	1.0
RPL19	RPS6	1.0
RPL19	RPS5	1.0
RPL19	RPS4X	1.0
RPL19	RPS3A	1.0
RPL19	RPS3	1.0
RPL19	RPS25	1.0
RPL19	RPS23	1.0
RPL19	RPS19	1.0
RPL19	RPS18	1.0
RPL19	RPS16	1.0
RPL19	RPS15A	1.0
RPL19	RPS15	1.0
RPL19	RPS14	1.0
RPL19	RPS13	1.0
RPL19	RPS11	1.0
RPL19	RPLP2	1.0
RPL19	RPLP0	1.0
RPL19	RPL8	1.0
RPL19	RPL7A	1.0
RPL19	RPL7	1.0
RPL19	RPL6	1.0
RPL19	RPL4	1.0
RPL19	RPL37A	1.0
RPL19	RPL36	1.0
RPL19	RPL35	1.0
RPL19	RPL32	1.0
RPL19	RPL31	1.0
RPL19	RPL3	1.0
RPL19	RPL30	1.0
RPL19	RPL27A	1.0
RPL19	RPL27	1.0
RPL19	RPL26	1.0
RPL19	RPL24	1.0
RPL19	RPL23A	1.0
RPL19	RPL23	1.0
RPL19	RPL21	1.0
RPL19	RPL18A	1.0
RPL19	RPL18	1.0
RPL19	RPL15	1.0
RPL19	RPL14	1.0
RPL19	RPL13A	1.0
RPL19	RPL13	1.0
RPL19	RPL12	1.0
RPL19	RPL11	1.0
RPL19	RPL10A	1.0
RPL19	RPL10	1.0
RPL18	RPS9	1.0
RPL18	RPS8	1.0
RPL18	RPS5	1.0
RPL18	RPS3A	1.0
RPL18	RPS13	1.0
RPL18	RPL7A	1.0
RPL18	RPL7	1.0
RPL18	RPL6	1.0
RPL18	RPL36	1.0
RPL18	RPL35	1.0
RPL18	RPL3	1.0
RPL18	RPL30	1.0
RPL18	RPL27A	1.0
RPL18	RPL27	1.0
RPL18	RPL23A	1.0
RPL18	RPL21	1.0
RPL18	RPL15	1.0
RPL18	RPL14	1.0
RPL18	RPL13	1.0
RPL18	RPL11	1.0
RPL18	RPL10	1.0
RPL18A	RPS9	1.0
RPL18A	RPS8	1.0
RPL18A	RPS4X	1.0
RPL18A	RPS3A	1.0
RPL18A	RPS3	1.0
RPL18A	RPS23	1.0
RPL18A	RPS19	1.0
RPL18A	RPS15A	1.0
RPL18A	RPS15	1.0
RPL18A	RPS13	1.0
RPL18A	RPS11	1.0
RPL18A	RPLP0	1.0
RPL18A	RPL7A	1.0
RPL18A	RPL7	1.0
RPL18A	RPL6	1.0
RPL18A	RPL37A	1.0
RPL18A	RPL36	1.0
RPL18A	RPL35A	1.0
RPL18A	RPL35	1.0
RPL18A	RPL31	1.0
RPL18A	RPL3	1.0
RPL18A	RPL30	1.0
RPL18A	RPL27A	1.0
RPL18A	RPL27	1.0
RPL18A	RPL24	1.0
RPL18A	RPL23A	1.0
RPL18A	RPL23	1.0
RPL18A	RPL21	1.0
RPL18A	RPL18	1.0
RPL18A	RPL15	1.0
RPL18A	RPL14	1.0
RPL18A	RPL13	1.0
RPL18A	RPL10A	1.0
RPL18A	RPL10	1.0
RPL15	RPS9	1.0
RPL15	RPS8	1.0
RPL15	RPS4X	1.0
RPL15	RPS3A	1.0
RPL15	RPS3	1.0
RPL15	RPS15A	1.0
RPL15	RPS15	1.0
RPL15	RPS14	1.0
RPL15	RPLP0	1.0
RPL15	RPL7	1.0
RPL15	RPL6	1.0
RPL15	RPL35	1.0
RPL15	RPL3	1.0
RPL15	RPL27	1.0
RPL15	RPL26L1	1.0
RPL15	RPL26	1.0
RPL15	RPL23A	1.0
RPL15	RPL21	1.0
RPL15	RPL14	1.0
RPL15	RPL13	1.0
RPL15	RPL12	1.0
RPL15	RPL11	1.0
RPL15	RPL10A	1.0
RPL15	EBNA1BP2	1.0
RPL14	RPS9	1.0
RPL14	RPS8	1.0
RPL14	RPS3A	1.0
RPL14	RPS15A	1.0
RPL14	RPL3	1.0
RPL14	RPL30	1.0
RPL14	RPL27A	1.0
RPL14	RPL21	1.0
RPL14	RPL11	1.0
RPL13	RPS9	1.0
RPL13	RPS8	1.0
RPL13	RPS5	1.0
RPL13	RPS3A	1.0
RPL13	RPS3	1.0
RPL13	RPS25	1.0
RPL13	RPS15A	1.0
RPL13	RPL3	1.0
RPL13	RPL30	1.0
RPL13	RPL27A	1.0
RPL13	RPL21	1.0
RPL13	RPL14	1.0
RPL13	RPL11	1.0
RPL13	RPL10	1.0
RPL13	EBNA1BP2	1.0
RPL13A	RPS9	1.0
RPL13A	RPS8	1.0
RPL13A	RPS3A	1.0
RPL13A	RPS3	1.0
RPL13A	RPS18	1.0
RPL13A	RPS16	1.0
RPL13A	RPS15A	1.0
RPL13A	RPS14	1.0
RPL13A	RPLP0	1.0
RPL13A	RPL8	1.0
RPL13A	RPL7	1.0
RPL13A	RPL6	1.0
RPL13A	RPL4	1.0
RPL13A	RPL36	1.0
RPL13A	RPL3	1.0
RPL13A	RPL30	1.0
RPL13A	RPL27A	1.0
RPL13A	RPL27	1.0
RPL13A	RPL23A	1.0
RPL13A	RPL21	1.0
RPL13A	RPL18A	1.0
RPL13A	RPL18	1.0
RPL13A	RPL15	1.0
RPL13A	RPL14	1.0
RPL13A	RPL13	1.0
RPL13A	RPL11	1.0
RPL13A	RPL10A	1.0
RPL13A	NOP2	1.0
RPL13A	EBNA1BP2	1.0
RPL13A	BRIX1	1.0
RPL12	RPS9	1.0
RPL12	RPS8	1.0
RPL12	RPS15A	1.0
RPL12	RPL6	1.0
RPL12	RPL13	1.0
RPL12	RPL10A	1.0
RPL11	RPS9	1.0
RPL11	RPS3	1.0
RPL11	RPS15A	1.0
RPL11	RPL3	1.0
RPL11	RPL27A	1.0
RPL11	RPL21	1.0
RPL10	RPS9	1.0
RPL10	RPS8	1.0
RPL10	RPS5	1.0
RPL10	RPS3A	1.0
RPL10	RPS3	1.0
RPL10	RPS20	1.0
RPL10	RPS15A	1.0
RPL10	RPL3	1.0
RPL10	RPL27A	1.0
RPL10	RPL21	1.0
RPL10	RPL11	1.0
RPL10A	RPS9	1.0
RPL10A	RPS8	1.0
